FICE,name,state,fullsal,assosal,assisal,allsal,numfull,numasso,numassi,numinst,numfac,region
6740,Univ. of Colorado at Denver,CO,596,453,408,467,106,108,119,35,368,other
9401,Colorado Christian Univ.,CO,NA,284,251,255,3,8,13,8,32,other
1374,Albertus Magnus College,CT,391,343,NA,340,9,7,5,3,24,east
1378,Central Connecticut St.Univ.,CT,666,534,397,518,118,119,137,16,390,east
1379,Connecticut College,CT,619,461,366,499,63,35,30,11,140,east
1380,Western Conn. State Univ.,CT,658,516,477,575,90,36,50,2,178,east
1385,Fairfield University,CT,685,545,452,545,62,43,81,6,192,east
1397,University of New Haven,CT,524,450,401,471,72,44,30,1,152,east
1402,Quinnipiac College,CT,697,540,412,553,82,51,64,10,207,east
1403,Sacred Heart University,CT,546,444,374,435,19,55,30,7,111,east
1406,Southern Conn. State Univ.,CT,644,514,385,522,160,125,120,12,417,east
1409,Saint Joseph College,CT,548,451,360,430,8,34,22,1,65,east
1414,Trinity College,CT,706,501,394,550,57,49,32,0,146,east
1416,University of Bridgeport,CT,505,437,360,434,32,29,26,1,90,east
1422,University of Hartford,CT,529,445,380,439,76,131,111,3,329,east
1424,Wesleyan University,CT,734,504,423,597,128,57,66,0,254,east
1425,Eastern Connecticut St.Univ.,CT,650,515,400,535,47,47,33,0,127,east
1426,Yale University,CT,928,522,444,708,404,118,191,6,767,east
1434,American University,DC,746,520,417,555,165,119,125,37,446,other
1437,Catholic Univ. of America,DC,611,449,385,482,123,141,104,6,374,other
1443,Gallaudet University,DC,623,480,399,482,86,67,70,35,261,other
1444,George Washington University,DC,729,542,447,610,316,175,134,12,637,other
1445,Georgetown University,DC,857,552,427,618,192,157,154,25,528,other
1448,Howard University,DC,656,483,403,481,241,282,189,111,891,other
1452,Mount Vernon College,DC,NA,360,288,330,3,10,17,0,30,other
1460,Trinity College,DC,457,362,293,350,12,12,21,2,47,other
29100,Univ.of District Columbia,DC,559,476,390,491,184,113,95,8,400,other
1428,Delaware State University,DE,545,435,359,379,29,47,61,34,183,east
1429,Goldey Beacom College,DE,492,405,NA,417,8,14,3,1,26,east
1431,University of Delaware,DE,723,531,422,556,341,319,217,65,953,east
1433,Wesley College,DE,448,373,334,376,14,12,22,1,49,east
1466,Barry University,FL,488,420,350,394,39,77,84,15,215,other
1468,St. Thomas University,FL,438,482,351,403,23,22,37,4,90,other
1479,Embry-Riddle Aero University,FL,457,369,310,365,70,130,84,7,299,other
1480,Florida A & M University,FL,524,426,359,424,103,123,111,27,364,other
1481,Florida Atlantic University,FL,580,426,394,461,183,147,159,30,528,other
1487,Eckerd College,FL,534,424,357,436,32,18,37,0,87,other
1488,Florida Southern College,FL,440,369,331,369,30,18,44,4,96,other
1489,Florida State University,FL,564,399,378,473,510,316,192,16,1038,other
1515,Rollins College,FL,542,420,321,457,78,43,26,7,154,other
1531,Stetson University,FL,622,437,370,477,61,52,65,2,185,other
1535,University of Florida,FL,613,430,399,501,981,721,510,49,2261,other
1536,University of Miami,FL,693,510,408,513,291,200,147,20,769,other
1537,University of South Florida,FL,571,418,369,455,387,319,239,45,1038,other
1538,University of Tampa,FL,495,425,371,416,36,37,46,4,127,other
3954,University Central Florida,FL,560,420,369,435,176,207,162,42,593,other
3955,University of West Florida,FL,489,391,350,390,59,65,75,22,221,other
8849,Palm Beach Atlantic College,FL,413,369,333,348,11,14,28,13,66,other
9635,Florida Internat'l Univ.,FL,558,423,395,433,182,261,220,76,767,other
9841,University of North Florida,FL,498,405,343,408,73,81,57,19,230,other
1542,Agnes Scott College,GA,527,421,356,426,19,24,19,4,66,other
1544,Albany State College,GA,444,395,335,371,38,24,68,8,138,other
1546,Armstrong State College,GA,462,367,315,347,38,32,119,12,201,other
1552,Augusta College,GA,503,409,336,383,40,43,79,21,183,other
1554,Berry College,GA,515,403,343,399,25,20,38,3,92,other
1561,Columbus College,GA,456,375,333,396,75,50,51,2,178,other
1564,Emory University,GA,796,547,451,608,203,177,161,8,549,other
1566,Fort Valley State College,GA,471,382,339,379,37,39,49,17,142,other
1569,Georgia Institute of Tech.,GA,684,517,462,558,235,206,167,17,626,other
1570,Southern Coll. of Technology,GA,457,386,360,398,44,58,40,4,146,other
1572,Georgia Southern University,GA,495,408,328,363,105,135,254,109,603,other
1574,Georgia State University,GA,666,474,390,502,258,254,241,40,793,other
1577,Kennesaw State College,GA,523,428,353,399,69,116,111,54,350,other
1580,Mercer University-Entire,GA,555,423,351,433,76,78,81,11,246,other
1586,Oglethorpe University,GA,516,454,329,450,21,9,10,0,44,other
1591,Shorter College,GA,370,308,294,317,16,17,17,5,55,other
1598,University of Georgia,GA,619,444,378,489,650,552,391,64,1658,other
1599,Valdosta State University,GA,477,386,344,390,88,90,114,19,311,other
1601,West Georgia College,GA,466,391,353,392,98,50,97,27,272,other
1602,Georgia College,GA,447,388,340,373,47,41,80,11,179,other
3484,Covenant College,GA,429,371,312,388,19,12,6,1,38,other
1610,Univ. of Hawaii at Manoa,HI,713,532,458,570,442,285,272,100,1099,other
21078,Univ. of Hawaii-West Oahu,HI,513,NA,396,449,8,4,8,0,20,other
29020,Univ. of Hawaii at Hilo,HI,576,461,414,467,43,47,37,14,141,other
1846,Briar Cliff College,IA,367,324,286,313,16,13,28,3,60,iowa
1847,Buena Vista College,IA,484,416,339,382,20,12,30,10,72,iowa
1850,Central University of Iowa,IA,464,413,334,395,23,36,22,8,89,iowa
1852,Clarke College,IA,436,361,312,338,11,10,25,8,54,iowa
1854,Coe College,IA,516,421,340,436,30,21,22,0,73,iowa
1856,Cornell College,IA,578,426,368,468,31,22,17,5,75,iowa
1859,Dordt College,IA,411,356,308,355,30,14,16,12,72,iowa
1860,Drake University,IA,601,458,409,481,101,61,107,16,285,iowa
1866,Graceland College,IA,411,331,301,345,26,11,29,1,70,iowa
1867,Grand View College,IA,385,320,295,329,22,31,20,2,75,iowa
1868,Grinnell College,IA,642,517,405,513,46,36,52,3,139,iowa
1869,Iowa State University,IA,684,506,404,534,467,353,284,84,1188,iowa
1873,Loras College,IA,419,363,314,363,37,35,31,6,109,iowa
1874,Luther College,IA,478,399,347,404,63,26,50,16,155,iowa
1879,Morningside College,IA,389,331,303,341,20,29,16,1,66,iowa
1880,Mount Mercy College,IA,379,356,334,337,7,20,28,8,63,iowa
1881,Mount St. Clare College,IA,NA,NA,NA,302,0,0,0,0,18,iowa
1883,Northwestern College,IA,430,372,311,344,9,16,27,6,58,iowa
1887,Simpson College,IA,491,377,339,394,25,11,17,14,67,iowa
1889,St. Ambrose University,IA,431,374,325,362,29,15,44,8,98,iowa
1890,University of Northern Iowa,IA,586,469,390,447,155,152,226,89,622,iowa
1891,University of Dubuque,IA,351,315,309,323,19,23,14,2,58,iowa
1892,University of Iowa,IA,706,509,432,579,486,308,260,10,1064,iowa
1893,Upper Iowa University,IA,NA,NA,287,303,4,5,6,12,27,iowa
1896,Wartburg College,IA,447,370,308,358,25,21,29,4,89,iowa
1899,Teikyo Westmar University,IA,NA,314,289,292,5,13,22,14,54,iowa
1900,William Penn College,IA,351,312,269,294,8,11,19,7,45,iowa
1616,Boise State University,ID,448,391,354,391,157,111,100,7,427,other
1617,Albertson Coll. of Idaho,ID,424,338,266,336,16,20,19,1,56,other
1620,Idaho State University,ID,466,382,337,368,128,99,113,120,460,other
1621,Lewis-Clark State College,ID,391,329,292,338,39,35,35,1,110,other
1624,Northwest Nazarene College,ID,NA,NA,NA,341,0,0,0,0,71,other
1626,University of Idaho,ID,514,408,373,438,217,165,155,9,546,other
1633,Augustana College,IL,527,425,362,418,41,28,50,18,137,other
1634,Aurora University,IL,434,379,339,372,18,16,19,16,69,other
1635,Barat College,IL,507,405,333,402,9,9,14,0,32,other
1639,Blackburn University,IL,NA,NA,NA,312,0,0,0,0,23,other
1641,Bradley University,IL,570,464,378,442,75,88,100,30,295,other
1664,College of Saint Francis,IL,446,422,345,392,12,15,23,0,50,other
1665,Columbia College,IL,NA,NA,NA,349,0,0,0,0,171,other
1666,Concordia University,IL,399,351,295,351,30,23,24,1,78,other
1671,DePaul University,IL,702,543,427,524,120,173,152,55,500,other
1674,Eastern Illinois University,IL,442,373,333,364,190,161,120,87,560,other
1678,Eureka College,IL,NA,370,315,355,5,16,16,0,37,other
1684,Greenville College,IL,374,331,292,336,27,11,15,4,57,other
1688,Illinois College,IL,522,424,347,424,16,18,14,3,51,other
1691,Illinois Institute of Tech.,IL,680,480,452,512,93,81,73,11,287,other
1692,Illinois State University,IL,548,436,373,460,289,187,244,0,720,other
1693,Northeastern Illinois Univ.,IL,460,378,359,394,139,88,71,0,331,other
1694,Chicago State University,IL,446,369,320,345,120,65,77,14,351,other
1696,Illinois Wesleyan University,IL,570,452,374,445,32,42,47,8,129,other
1700,Judson College,IL,400,358,305,358,10,12,6,1,29,other
1703,Kendall College,IL,NA,357,NA,319,1,11,3,4,19,other
1704,Knox College,IL,508,414,342,432,35,17,20,5,77,other
1706,Lake Forest College,IL,644,475,402,495,26,22,24,5,81,other
1707,Lewis University,IL,467,392,330,357,37,20,29,52,138,other
1710,Loyola Univ. of Chicago,IL,761,536,433,570,164,230,163,6,563,other
1717,MacMurray College,IL,324,263,250,262,13,9,16,31,69,other
1722,McKendree College,IL,433,397,341,381,16,10,16,5,47,other
1724,Millikin University,IL,478,409,313,386,34,38,46,6,124,other
1725,Monmouth College,IL,443,339,325,381,20,12,11,1,44,other
1733,National-Louis University,IL,490,405,337,348,20,51,120,23,253,other
1734,North Central College,IL,473,399,348,398,24,40,28,5,97,other
1735,North Park College,IL,415,337,285,339,23,18,18,2,65,other
1737,Northern Illinois University,IL,578,435,375,440,314,266,246,112,944,other
1739,Northwestern University,IL,860,596,496,712,460,209,203,0,872,other
1741,Olivet Nazarene University,IL,391,335,278,320,26,22,36,8,92,other
1744,Principia College,IL,465,400,345,395,20,9,13,7,49,other
1745,Quincy University,IL,372,371,285,345,18,21,14,2,55,other
1749,Roosevelt University,IL,484,405,359,416,50,58,42,2,152,other
1750,Rosary College,IL,448,378,377,382,10,25,34,3,72,other
1758,Southern Ill.Univ-Carbondale,IL,564,436,359,422,272,255,313,33,977,other
1759,Southern Ill.Univ-Edwardsvle,IL,531,442,389,453,168,126,95,24,421,other
1767,Illinois Benedictine College,IL,463,395,315,409,38,36,17,0,91,other
1768,Saint Xavier University,IL,551,452,388,439,22,78,53,6,159,other
1772,Trinity College,IL,NA,346,291,320,5,11,13,2,31,other
1774,University of Chicago,IL,894,586,515,742,467,138,161,36,802,other
1775,Univ. of Illinois-Urbana,IL,682,493,421,570,927,520,393,1,1868,other
1776,Univ. of Illinois-Chicago,IL,656,476,411,513,401,369,296,20,1135,other
1780,Western Illinois University,IL,506,427,350,421,241,171,123,62,606,other
1781,Wheaton College,IL,510,437,368,452,67,54,32,3,156,other
3970,Parks Coll.of St.Louis Univ.,IL,576,540,396,487,15,12,16,4,47,other
9333,Sangamon State University,IL,499,437,370,433,50,62,46,5,163,other
1785,Anderson University,IN,415,340,316,347,43,45,36,14,138,other
1786,Ball State University,IN,517,410,332,384,297,160,350,155,965,other
1787,Bethel College,IN,NA,NA,285,295,5,4,26,1,36,other
1788,Butler University,IN,521,442,366,439,72,66,77,3,220,other
1792,DePauw University,IN,540,433,361,452,51,57,38,0,146,other
1793,Earlham College,IN,514,394,338,445,44,13,22,0,79,other
1795,University of Evansville,IN,500,415,351,414,57,43,58,4,170,other
1798,Franklin College of Indiana,IN,440,363,325,381,24,16,20,0,60,other
1799,Goshen College,IN,388,341,291,345,37,19,28,0,84,other
1800,Grace College,IN,326,264,228,285,14,11,6,0,31,other
1801,Hanover College,IN,555,437,377,432,28,16,35,13,92,other
1803,Huntington College,IN,438,367,305,358,11,11,13,3,38,other
1804,University of Indianapolis,IN,487,408,358,382,16,38,52,19,125,other
1808,Univ. of Southern Indiana,IN,493,421,377,384,35,38,58,50,181,other
1809,Indiana Univ.-Bloomington,IN,674,479,399,540,624,344,305,1,1361,other
1811,Indiana Univ.-East,IN,NA,405,327,341,5,12,24,0,59,other
1812,Indiana-Purdue U.-Fort Wayne,IN,498,408,340,385,53,106,123,15,303,other
1813,Indiana Univ.-Indianapolis,IN,643,469,405,469,170,217,215,1,688,other
1814,Indiana Univ. at Kokomo,IN,519,432,380,397,13,21,29,0,81,other
1815,Indiana Univ.-Northwest,IN,544,446,355,410,25,63,33,0,152,other
1816,Indiana Univ. at South Bend,IN,544,445,391,420,32,56,57,0,175,other
1817,Indiana Univ.-Southeast,IN,529,408,369,422,41,24,42,0,125,other
1820,Manchester College,IN,412,340,289,340,24,22,17,11,74,other
1821,Marian College,IN,420,329,303,330,15,23,34,5,79,other
1822,Indiana Wesleyan University,IN,396,342,294,335,22,23,34,2,81,other
1824,Oakland City College,IN,NA,282,252,269,3,11,10,4,28,other
1825,Purdue Univ.-Main Campus,IN,721,485,423,562,603,411,400,29,1443,other
1827,Purdue University-Calumet,IN,519,413,364,405,47,105,74,21,247,other
1830,Rose-Hulman Inst. of Tech.,IN,608,522,447,549,51,29,21,0,101,other
1832,Saint Francis College,IN,NA,334,313,316,3,8,21,5,37,other
1833,Saint Joseph's College,IN,373,374,312,344,13,12,19,1,45,other
1834,Calumet College of St.Joseph,IN,324,264,235,265,6,6,9,2,23,other
1835,Saint Mary-of-the-Woods Coll,IN,307,234,199,232,11,11,18,4,44,other
1836,Saint Mary's College,IN,524,391,331,388,21,43,52,1,117,other
1837,Saint Meinrad College,IN,357,NA,NA,332,6,3,5,1,15,other
1838,Taylor University,IN,404,352,300,355,36,31,25,3,95,other
1839,Tri-State University,IN,395,324,291,340,23,28,10,3,64,other
1840,University of Notre Dame,IN,798,562,470,637,274,195,164,11,644,other
1842,Valparaiso University,IN,559,423,372,446,67,58,74,5,204,other
1844,Wabash College,IN,612,474,371,501,31,22,20,1,74,other
9563,Indiana State University,IN,500,394,343,423,248,133,151,16,548,other
1903,Baker University,KS,369,318,288,327,18,18,16,0,52,other
1904,Bethany College,KS,335,280,248,281,16,9,24,2,51,other
1905,Bethel College,KS,325,285,267,285,16,19,8,5,48,other
1915,Fort Hays State University,KS,446,378,325,377,84,56,71,21,232,other
1926,Pittsburg State University,KS,450,381,331,375,103,76,70,4,291,other
1927,Emporia State University,KS,435,390,330,367,67,67,78,26,238,other
1928,Kansas State University,KS,550,419,368,440,305,231,259,63,858,other
1929,Kansas Wesleyan University,KS,337,290,265,293,11,14,10,3,38,other
1933,McPherson College,KS,318,274,254,272,7,16,11,3,37,other
1937,Ottawa University,KS,338,292,264,284,13,12,22,8,55,other
1940,Southwestern College,KS,340,318,278,311,16,10,10,3,39,other
1943,Saint Mary College,KS,336,301,261,282,10,11,15,5,43,other
1946,Tabor College,KS,304,NA,222,257,8,5,8,3,24,other
1948,University of Kansas-Main,KS,579,422,367,485,474,297,204,6,981,other
1949,Washburn University,KS,594,438,333,457,76,55,59,11,201,other
1950,Wichita State University,KS,555,417,361,415,101,154,188,24,467,other
7032,Mid-America Nazarene College,KS,371,305,265,300,18,12,24,6,60,other
10256,Benedictine College,KS,335,316,278,296,11,16,16,7,50,other
1954,Bellarmine College,KY,473,385,326,394,32,18,27,7,84,other
1955,Berea College,KY,552,428,355,436,32,43,31,6,112,other
1958,Brescia College,KY,NA,322,273,299,4,10,14,4,32,other
1959,Campbellsville College,KY,342,278,252,277,12,11,16,7,46,other
1960,Spalding University,KY,359,315,289,313,15,22,26,3,66,other
1961,Centre College,KY,521,418,351,431,27,21,21,4,73,other
1962,Cumberland College,KY,354,291,272,286,17,23,32,20,97,other
1963,Eastern Kentucky University,KY,519,439,371,442,237,135,185,29,586,other
1964,Georgetown College,KY,398,338,297,343,29,18,19,6,72,other
1968,Kentucky State University,KY,460,403,329,377,26,35,52,5,118,other
1969,Kentucky Wesleyan College,KY,383,326,292,327,17,18,11,5,51,other
1972,Lindsey Wilson College,KY,NA,359,278,294,2,7,11,18,38,other
1976,Morehead State University,KY,478,395,322,373,87,89,123,37,336,other
1977,Murray State University,KY,462,396,342,383,95,101,101,7,336,other
1980,Pikeville College,KY,359,314,275,304,8,25,15,3,51,other
1987,Transylvania University,KY,447,393,318,384,18,25,18,2,63,other
1988,Union College,KY,314,287,255,277,11,20,8,9,48,other
1989,University of Kentucky,KY,634,473,418,521,470,416,308,6,1200,other
1999,University of Louisville,KY,584,442,368,476,276,208,169,12,674,other
2001,Thomas More College,KY,352,324,277,312,12,30,18,1,62,other
2002,Western Kentucky University,KY,485,408,347,413,223,135,144,43,553,other
9275,Northern Kentucky University,KY,506,427,350,388,83,96,90,14,341,other
2003,Centenary College of La.,LA,499,380,324,412,28,20,16,2,66,other
2004,Dillard University,LA,494,373,342,350,8,15,59,10,96,other
2005,Nicholls State University,LA,440,361,316,338,72,67,82,40,286,other
2006,Grambling State University,LA,442,392,329,349,48,48,124,45,265,other
2007,Louisiana College,LA,375,324,308,338,25,13,18,4,60,other
2008,Louisiana Tech University,LA,472,408,344,391,129,93,131,36,389,other
2010,Louisiana St.Univ.and A&M C.,LA,594,437,379,464,561,387,313,178,1439,other
2013,Louisiana St.Univ.Shreveport,LA,458,414,337,385,53,37,48,18,156,other
2015,University of New Orleans,LA,512,378,352,404,199,128,116,67,510,other
2016,Loyola University,LA,593,451,393,476,77,103,45,2,241,other
2017,McNeese State University,LA,456,374,323,363,76,77,104,33,290,other
2020,Northeast Louisiana Univ.,LA,459,376,325,343,88,102,159,100,449,other
2021,Northwestern State Univ.,LA,418,360,312,335,44,47,98,34,223,other
2023,Our Lady of Holy Cross Coll.,LA,NA,306,325,314,1,9,9,6,25,other
2024,Southeastern Louisiana Univ.,LA,468,405,329,348,68,68,163,90,389,other
2026,Southern Univ.at New Orleans,LA,406,329,298,320,23,22,64,11,120,other
2029,Tulane University,LA,713,514,418,564,172,166,115,3,456,other
2031,Univ. Southwestern Louisiana,LA,533,409,359,402,147,136,167,98,548,other
2032,Xavier University of La.,LA,459,389,332,352,37,41,91,34,203,other
9636,Southern Univ.A&M Coll.-Main,LA,455,392,336,367,100,88,210,48,446,other
2115,Amherst College,MA,726,516,425,610,87,23,43,0,153,east
2117,Anna Maria College,MA,407,364,318,341,6,9,14,4,33,east
2118,Assumption College,MA,479,400,325,385,22,42,40,3,107,east
2120,Merrimack College,MA,507,393,326,395,24,63,38,0,125,east
2121,Babson College,MA,787,613,557,633,31,45,31,3,119,east
2124,Bentley College,MA,717,566,493,575,48,84,56,10,198,east
2126,Berklee College of Music,MA,504,402,329,381,17,59,61,2,139,east
2128,Boston College,MA,784,569,496,614,165,245,126,10,556,east
2132,Bradford College,MA,447,352,310,346,9,18,8,6,41,east
2133,Brandeis University,MA,687,493,403,550,142,71,40,3,299,east
2139,Clark University,MA,664,469,395,522,58,64,38,0,160,east
2140,Coll.of Our Lady of the Elms,MA,431,353,305,342,10,18,19,5,52,east
2141,College of the Holy Cross,MA,695,506,406,519,44,84,54,4,186,east
2146,Emerson College,MA,669,502,386,488,21,33,35,3,92,east
2153,Gordon College,MA,432,352,319,381,35,18,13,5,71,east
2158,Lasell College,MA,NA,336,322,320,3,7,13,4,27,east
2161,Univ. of Mass. at Lowell,MA,664,539,464,587,223,191,52,10,476,east
2178,Massachusetts Inst. of Tech.,MA,903,637,528,757,583,177,164,36,989,east
2183,Bridgewater State College,MA,517,440,400,468,144,53,41,17,255,east
2184,Fitchburg State College,MA,512,429,395,444,87,56,70,11,224,east
2187,North Adams State College,MA,510,394,361,428,34,34,21,2,91,east
